model_name,result_path,mae,rmse,plcc,srocc,krocc,prediction_rate,valid_predictions,total_predictions
e2_low_rank_lr2e-4_r8_drop005,output/sweeps/sft_param_study/runs/e2_low_rank_lr2e-4_r8_drop005/eval/eval_results.json,0.3933333456516266,0.48213258385658264,0.9304846525192261,0.9322745158913632,0.8078622585082278,1.0,300,300
e3_baseline_lr2e-4_r16_drop005,output/sweeps/sft_param_study/runs/e3_baseline_lr2e-4_r16_drop005/eval/eval_results.json,0.3677777647972107,0.4471721649169922,0.933270275592804,0.9319863644113336,0.8073565028856889,1.0,300,300
e2_lower_lr1e-4_r16_drop005,output/sweeps/sft_param_study/runs/e2_lower_lr1e-4_r16_drop005/eval/eval_results.json,0.3737777769565582,0.4634252190589905,0.931270956993103,0.9317246989755642,0.8040072595880617,1.0,300,300
e2_baseline_lr2e-4_r16_drop005,output/sweeps/sft_param_study/runs/e2_baseline_lr2e-4_r16_drop005/eval/eval_results.json,0.38377776741981506,0.476056307554245,0.9304807782173157,0.9307708386588038,0.8038168511650544,1.0,300,300
e2_high_rank_lr2e-4_r32_drop005,output/sweeps/sft_param_study/runs/e2_high_rank_lr2e-4_r32_drop005/eval/eval_results.json,0.3668888807296753,0.45923444628715515,0.929171085357666,0.9304397757539689,0.8089549761086816,1.0,300,300
e2_higher_dropout_lr2e-4_r16_drop010,output/sweeps/sft_param_study/runs/e2_higher_dropout_lr2e-4_r16_drop010/eval/eval_results.json,0.37555554509162903,0.4700906276702881,0.9280236959457397,0.9292054358734132,0.8041405621847784,1.0,300,300
e2_no_dropout_lr2e-4_r16_drop000,output/sweeps/sft_param_study/runs/e2_no_dropout_lr2e-4_r16_drop000/eval/eval_results.json,0.3757777512073517,0.4680534899234772,0.9260953664779663,0.9258999165876106,0.8015192309050932,1.0,300,300
e2_lowest_lr5e-5_r16_drop005,output/sweeps/sft_param_study/runs/e2_lowest_lr5e-5_r16_drop005/eval/eval_results.json,0.4162222146987915,0.5108671188354492,0.9215798377990723,0.9230688781299706,0.7920189208344313,1.0,300,300
e1_baseline_lr2e-4_r16_drop005,output/sweeps/sft_param_study/runs/e1_baseline_lr2e-4_r16_drop005/eval/eval_results.json,0.35955557227134705,0.45485854148864746,0.9188524484634399,0.921618366715241,0.7944104236216744,1.0,300,300
