rank,run_name,status,train_status,eval_status,model_dir,eval_path,train_config_path,eval_config_path,error,learning_rate,lora_alpha,lora_dropout,lora_r,num_train_epochs,krocc,krocc_p_value,mae,plcc,plcc_p_value,prediction_rate,rmse,srocc,srocc_p_value,total_predictions,valid_predictions
1,e2_low_rank_lr2e-4_r8_drop005,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e2_low_rank_lr2e-4_r8_drop005/model,output/sweeps/sft_param_study/runs/e2_low_rank_lr2e-4_r8_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_low_rank_lr2e-4_r8_drop005/train_config.json,output/sweeps/sft_param_study/runs/e2_low_rank_lr2e-4_r8_drop005/eval_config.json,,0.0002,16,0.05,8,2.0,0.8078622585082278,3.6035072915602334e-85,0.3933333456516266,0.9304846525192261,5.368400629600529e-132,1.0,0.48213258385658264,0.9322745158913632,1.2619053171969837e-133,300,300
2,e3_baseline_lr2e-4_r16_drop005,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e3_baseline_lr2e-4_r16_drop005/model,output/sweeps/sft_param_study/runs/e3_baseline_lr2e-4_r16_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e3_baseline_lr2e-4_r16_drop005/train_config.json,output/sweeps/sft_param_study/runs/e3_baseline_lr2e-4_r16_drop005/eval_config.json,,0.0002,32,0.05,16,3.0,0.8073565028856889,1.4824347036306378e-86,0.3677777647972107,0.933270275592804,1.4978752893542314e-134,1.0,0.4471721649169922,0.9319863644113336,2.3240545647639336e-133,300,300
3,e2_lower_lr1e-4_r16_drop005,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e2_lower_lr1e-4_r16_drop005/model,output/sweeps/sft_param_study/runs/e2_lower_lr1e-4_r16_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_lower_lr1e-4_r16_drop005/train_config.json,output/sweeps/sft_param_study/runs/e2_lower_lr1e-4_r16_drop005/eval_config.json,,0.0001,32,0.05,16,2.0,0.8040072595880617,5.542028482885625e-86,0.3737777769565582,0.931270956993103,1.0464360246959816e-132,1.0,0.4634252190589905,0.9317246989755642,4.037196742715657e-133,300,300
4,e2_baseline_lr2e-4_r16_drop005,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e2_baseline_lr2e-4_r16_drop005/model,output/sweeps/sft_param_study/runs/e2_baseline_lr2e-4_r16_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_baseline_lr2e-4_r16_drop005/train_config.json,output/sweeps/sft_param_study/runs/e2_baseline_lr2e-4_r16_drop005/eval_config.json,,0.0002,32,0.05,16,2.0,0.8038168511650544,6.85937061244155e-85,0.38377776741981506,0.9304807782173157,5.412236116076662e-132,1.0,0.476056307554245,0.9307708386588038,2.9672364031239454e-132,300,300
5,e2_high_rank_lr2e-4_r32_drop005,completed,completed,completed,output/sweeps/sft_param_study/runs/e2_high_rank_lr2e-4_r32_drop005/model,output/sweeps/sft_param_study/runs/e2_high_rank_lr2e-4_r32_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_high_rank_lr2e-4_r32_drop005/train_config.json,output/sweeps/sft_param_study/runs/e2_high_rank_lr2e-4_r32_drop005/eval_config.json,,0.0002,64,0.05,32,2.0,0.8089549761086816,5.671140675193986e-85,0.3668888807296753,0.929171085357666,7.902443380950165e-131,1.0,0.45923444628715515,0.9304397757539689,5.890097100045263e-132,300,300
6,e2_higher_dropout_lr2e-4_r16_drop010,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e2_higher_dropout_lr2e-4_r16_drop010/model,output/sweeps/sft_param_study/runs/e2_higher_dropout_lr2e-4_r16_drop010/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_higher_dropout_lr2e-4_r16_drop010/train_config.json,output/sweeps/sft_param_study/runs/e2_higher_dropout_lr2e-4_r16_drop010/eval_config.json,,0.0002,32,0.1,16,2.0,0.8041405621847784,1.8140786403590724e-84,0.37555554509162903,0.9280236959457397,7.937067151279304e-130,1.0,0.4700906276702881,0.9292054358734132,7.370672919510899e-131,300,300
7,e2_no_dropout_lr2e-4_r16_drop000,completed,completed,completed,output/sweeps/sft_param_study/runs/e2_no_dropout_lr2e-4_r16_drop000/model,output/sweeps/sft_param_study/runs/e2_no_dropout_lr2e-4_r16_drop000/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_no_dropout_lr2e-4_r16_drop000/train_config.json,output/sweeps/sft_param_study/runs/e2_no_dropout_lr2e-4_r16_drop000/eval_config.json,,0.0002,32,0.0,16,2.0,0.8015192309050932,9.690771067748727e-83,0.3757777512073517,0.9260953664779663,3.520794014853112e-128,1.0,0.4680534899234772,0.9258999165876106,5.14129070904418e-128,300,300
8,e2_lowest_lr5e-5_r16_drop005,completed,completed,completed,output/sweeps/sft_param_study/runs/e2_lowest_lr5e-5_r16_drop005/model,output/sweeps/sft_param_study/runs/e2_lowest_lr5e-5_r16_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e2_lowest_lr5e-5_r16_drop005/train_config.json,output/sweeps/sft_param_study/runs/e2_lowest_lr5e-5_r16_drop005/eval_config.json,,5e-05,32,0.05,16,2.0,0.7920189208344313,1.8340537151813337e-82,0.4162222146987915,0.9215798377990723,1.7160004638974705e-124,1.0,0.5108671188354492,0.9230688781299706,1.1051503497716414e-125,300,300
9,e1_baseline_lr2e-4_r16_drop005,completed,skipped_existing,skipped_existing,output/sweeps/sft_param_study/runs/e1_baseline_lr2e-4_r16_drop005/model,output/sweeps/sft_param_study/runs/e1_baseline_lr2e-4_r16_drop005/eval/eval_results.json,output/sweeps/sft_param_study/runs/e1_baseline_lr2e-4_r16_drop005/train_config.json,output/sweeps/sft_param_study/runs/e1_baseline_lr2e-4_r16_drop005/eval_config.json,,0.0002,32,0.05,16,1.0,0.7944104236216744,4.574354238097864e-81,0.35955557227134705,0.9188524484634399,2.2708496767117676e-122,1.0,0.45485854148864746,0.921618366715241,1.599543933257407e-124,300,300
